ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
4,04:21.9,18:02,1,4:22:00,,191,196,,,,,,,176,213,左 43.6%／右 56.4%,1.31,7.6,5.6,67,,4:08:00,179,04:21.9,4:22:00,177,60,62
5,00:38.7,18:40,0.15,4:21:00,,183,192,,,,,,,174,194,左 44.3%／右 55.7%,1.31,8,5.9,9,,3:48:00,177,0:38,4:17:00,177,60,62
1,04:13.2,04:13.2,1,4:13:00,,152,171,,,,,,,171,206,左 41.9%／右 58.1%,1.37,8.4,5.9,50,,4:02:00,177,4:13,4:13:00,177,60,62
2,04:17.0,08:30.1,1,4:17:00,,171,186,1,4,,,,,174,198,左 41.6%／右 58.4%,1.35,8,5.7,58,,4:11:00,176,04:17.0,4:17:00,177,60,62
3,04:26.4,12:57,1,4:26:00,,186,189,4,0,,,,,172,207,左 44.0%／右 56.0%,1.31,8.2,6,65,,4:19:00,174,4:26,4:26:00,177,60,62
4,04:37.0,17:34,1,4:37:00,,186,193,4,4,,,,,173,211,左 42.8%／右 57.2%,1.27,8,6,68,,4:20:00,175,04:37.0,4:37:00,177,60,62
5,01:52.3,19:26,0.42,4:27:00,,188,192,0,3,,,,,173,210,左 43.0%／右 57.0%,1.31,8.3,6,28,,4:08:00,176,1:52,4:27:00,177,60,62
1,04:44.6,04:44.6,1,4:45:00,,166,185,,,,,,,168,208,左 44.4%／右 55.6%,1.27,8.8,7.3,61,,4:12:00,178,4:38,4:38:00,177,60,62
2,04:37.6,09:22.2,1,4:38:00,,186,191,,,,,,,168,216,左 45.5%／右 54.5%,1.29,8.8,6.6,68,,4:13:00,171,04:37.6,4:38:00,177,60,62
3,04:38.5,14:01,1,4:38:00,,191,196,,,,,,,169,216,左 45.1%／右 54.9%,1.28,8.7,6.6,71,,4:04:00,172,04:38.5,4:38:00,177,60,62
4,04:40.6,18:41,1,4:41:00,,193,198,,,,,,,170,225,左 44.3%／右 55.7%,1.26,8.5,6.5,73,,4:19:00,173,04:40.6,4:41:00,177,60,62
5,00:48.5,19:30,0.18,4:26:00,,197,199,,,,,,,169,223,左 42.8%／右 57.2%,1.33,8.7,6.3,13,,3:53:00,171,0:48,4:23:00,177,60,62
1,04:42.4,04:42.4,1,4:42:00,,160,181,,,,,,,170,217,左 50.3%／右 49.7%,1.27,8.5,6.3,58,,3:32:00,173,4:41,4:41:00,177,60,62
2,04:31.6,09:14.0,1,4:32:00,,180,187,,,,,,,172,212,左 49.5%／右 50.5%,1.28,8.3,6.2,64,,3:49:00,175,04:31.6,4:32:00,177,60,62
3,04:32.4,13:46,1,4:32:00,,187,194,,,,,,,174,213,左 44.4%／右 55.6%,1.27,8.1,6.2,67,,4:16:00,177,4:32,4:32:00,177,60,62
4,04:38.9,18:25,1,4:39:00,,189,196,,,,,,,173,212,左 46.3%／右 53.7%,1.24,8,6.2,70,,3:56:00,177,04:38.9,4:39:00,177,60,62
