lap,time,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight,VO2Max
2.0,227.9,463.0,168.0,181.0,173.0,238.0,57.9,42.1,1.52,9.0,5.6,50.0,218.0,176.0,228.0,177.0,60.0,62.0
3.0,231.0,694.0,175.0,184.0,173.0,238.0,57.6,42.4,1.49,9.0,5.8,52.0,221.0,177.0,231.0,177.0,60.0,62.0
1.0,195.7,195.0,148.0,167.0,175.0,211.0,56.5,43.5,1.72,8.4,4.9,37.0,187.0,180.0,190.0,177.0,60.0,62.0
2.0,218.2,413.0,172.0,178.0,177.0,206.0,55.7,44.3,1.57,8.2,4.9,49.0,195.0,180.0,218.0,177.0,60.0,62.0
3.0,221.4,635.0,179.0,187.0,176.0,213.0,52.7,47.3,1.54,8.3,5.1,51.0,220.0,178.0,221.0,177.0,60.0,62.0
1.0,195.7,195.0,148.0,167.0,175.0,211.0,56.5,43.5,1.72,8.4,4.9,37.0,187.0,180.0,190.0,177.0,60.0,62.0
2.0,218.2,413.0,172.0,178.0,177.0,206.0,55.7,44.3,1.57,8.2,4.9,49.0,195.0,180.0,218.0,177.0,60.0,62.0
3.0,221.4,635.0,179.0,187.0,176.0,213.0,52.7,47.3,1.54,8.3,5.1,51.0,220.0,178.0,221.0,177.0,60.0,62.0
1.0,258.9,258.0,149.0,161.0,172.0,204.0,50.9,49.1,1.37,9.3,6.6,50.0,231.0,174.0,258.0,177.0,60.0,62.0
1.0,237.3,237.0,157.0,174.0,175.0,198.0,52.3,47.7,1.45,8.4,5.6,49.0,220.0,181.0,236.0,177.0,60.0,62.0
2.0,228.7,466.0,174.0,180.0,176.0,194.0,50.0,50.0,1.5,8.2,5.2,52.0,220.0,179.0,229.0,177.0,60.0,62.0
3.0,225.1,691.0,176.0,183.0,177.0,200.0,50.9,49.1,1.51,7.9,5.0,52.0,199.0,179.0,225.0,177.0,60.0,62.0
1.0,254.4,254.0,175.0,187.0,170.0,217.0,51.9,48.1,1.43,8.9,5.9,59.0,237.0,173.0,253.0,177.0,60.0,62.0
1.0,270.7,270.0,153.0,174.0,168.0,218.0,53.6,46.4,1.35,9.5,6.7,53.0,228.0,179.0,271.0,177.0,60.0,62.0
2.0,254.5,525.0,161.0,167.0,174.0,213.0,54.5,45.5,1.37,9.1,6.4,53.0,242.0,176.0,254.0,177.0,60.0,62.0
3.0,261.6,787.0,166.0,174.0,172.0,215.0,55.2,44.8,1.31,9.0,6.6,56.0,255.0,181.0,261.0,177.0,60.0,62.0
1.0,258.9,258.0,149.0,165.0,171.0,196.0,49.8,50.2,1.36,8.8,6.2,49.0,100.0,176.0,257.0,177.0,60.0,62.0
2.0,254.5,513.0,166.0,174.0,172.0,201.0,49.8,50.2,1.38,9.0,6.3,55.0,235.0,175.0,255.0,177.0,60.0,62.0
3.0,267.2,781.0,172.0,179.0,171.0,207.0,50.1,49.9,1.31,8.8,6.4,59.0,253.0,173.0,267.0,177.0,60.0,62.0
1.0,252.3,252.0,146.0,165.0,170.0,191.0,49.7,50.3,1.35,9.2,6.7,47.0,239.0,177.0,252.0,177.0,60.0,62.0
2.0,269.1,521.0,167.0,173.0,169.0,202.0,50.0,50.0,1.33,9.2,6.7,58.0,245.0,173.0,269.0,177.0,60.0,62.0
3.0,263.0,784.0,164.0,174.0,170.0,201.0,49.9,50.1,1.36,9.1,6.5,56.0,251.0,172.0,263.0,177.0,60.0,62.0
1.0,313.7,395.0,139.0,155.0,159.0,212.0,50.2,49.8,1.21,10.0,8.3,55.0,273.0,177.0,306.0,177.0,60.0,62.0
2.0,296.4,692.0,149.0,157.0,169.0,203.0,50.0,50.0,1.2,10.0,8.1,57.0,258.0,173.0,296.0,177.0,60.0,62.0
1.0,315.9,315.0,162.0,174.0,157.0,225.0,50.4,49.6,1.2,9.2,7.8,66.0,270.0,181.0,297.0,177.0,60.0,62.0
1.0,182.7,182.0,154.0,180.0,185.0,190.0,48.2,51.8,1.77,6.8,3.9,36.0,150.0,199.0,181.0,177.0,60.0,62.0
1.0,316.4,316.0,148.0,169.0,159.0,226.0,49.5,50.5,1.22,11.0,8.8,59.0,272.0,166.0,315.0,177.0,60.0,62.0
2.0,310.7,627.0,182.0,192.0,159.0,225.0,49.5,50.5,1.22,11.4,9.1,74.0,241.0,164.0,310.0,177.0,60.0,62.0
3.0,301.6,929.0,193.0,196.0,161.0,220.0,49.6,50.4,1.23,10.9,8.6,77.0,239.0,165.0,302.0,177.0,60.0,62.0
1.0,267.2,267.0,160.0,177.0,170.0,209.0,50.5,49.5,1.31,9.3,6.7,54.0,244.0,179.0,266.0,177.0,60.0,62.0
2.0,253.2,520.0,183.0,188.0,172.0,207.0,50.4,49.6,1.38,9.3,6.5,59.0,246.0,175.0,253.0,177.0,60.0,62.0
3.0,258.7,779.0,190.0,197.0,171.0,207.0,50.6,49.4,1.34,9.5,6.9,65.0,248.0,174.0,259.0,177.0,60.0,62.0
1.0,251.5,251.0,166.0,187.0,170.0,197.0,50.1,49.9,1.39,9.9,6.9,52.0,232.0,174.0,248.0,177.0,60.0,62.0
2.0,246.4,497.0,189.0,193.0,172.0,201.0,50.1,49.9,1.42,9.9,6.8,60.0,238.0,177.0,246.0,177.0,60.0,62.0
3.0,233.9,732.0,200.0,204.0,171.0,203.0,50.0,50.0,1.5,9.9,6.3,64.0,229.0,174.0,234.0,177.0,60.0,62.0
1.0,276.3,276.0,169.0,186.0,169.0,203.0,50.4,49.6,1.27,10.4,7.9,59.0,254.0,177.0,276.0,177.0,60.0,62.0
2.0,247.0,523.0,190.0,197.0,168.0,197.0,50.5,49.5,1.44,11.0,7.4,61.0,241.0,170.0,247.0,177.0,60.0,62.0
3.0,237.2,761.0,200.0,206.0,170.0,197.0,50.3,49.7,1.46,10.5,6.9,64.0,198.0,179.0,237.0,177.0,60.0,62.0
1.0,266.9,266.0,153.0,182.0,169.0,200.0,49.9,50.1,1.31,11.2,8.5,50.0,258.0,175.0,267.0,177.0,60.0,62.0
2.0,258.7,525.0,176.0,182.0,169.0,202.0,49.0,51.0,1.38,10.5,7.3,57.0,248.0,171.0,258.0,177.0,60.0,62.0
3.0,228.2,754.0,191.0,198.0,171.0,196.0,47.7,52.3,1.49,9.6,6.2,56.0,208.0,177.0,228.0,177.0,60.0,62.0
1.0,266.7,266.0,154.0,171.0,167.0,195.0,50.2,49.8,1.35,10.2,7.3,51.0,233.0,172.0,264.0,177.0,60.0,62.0
2.0,252.7,519.0,174.0,198.0,169.0,190.0,50.0,50.0,1.41,10.3,7.1,55.0,225.0,172.0,253.0,177.0,60.0,62.0
3.0,247.7,767.0,198.0,209.0,171.0,197.0,50.0,50.0,1.42,9.7,6.6,64.0,209.0,175.0,248.0,177.0,60.0,62.0
1.0,256.5,256.0,172.0,188.0,170.0,207.0,49.7,50.3,1.37,9.3,6.7,52.0,245.0,175.0,254.0,177.0,60.0,62.0
2.0,248.6,505.0,192.0,196.0,170.0,209.0,49.7,50.3,1.39,9.3,6.4,57.0,235.0,173.0,249.0,177.0,60.0,62.0
3.0,248.0,753.0,190.0,202.0,171.0,211.0,49.5,50.5,1.4,9.1,6.2,56.0,237.0,173.0,248.0,177.0,60.0,62.0
1.0,267.6,267.0,165.0,184.0,166.0,219.0,49.6,50.4,1.36,10.1,7.2,39.0,247.0,172.0,266.0,177.0,60.0,62.0
2.0,260.3,527.0,191.0,197.0,166.0,220.0,49.9,50.1,1.39,10.2,7.0,45.0,250.0,169.0,260.0,177.0,60.0,62.0
3.0,260.8,789.0,195.0,199.0,166.0,219.0,49.8,50.2,1.39,10.1,7.0,47.0,246.0,170.0,261.0,177.0,60.0,62.0
1.0,303.6,303.0,164.0,178.0,163.0,217.0,50.2,49.8,1.23,10.7,8.6,42.0,250.0,170.0,302.0,177.0,60.0,62.0
2.0,289.9,593.0,173.0,182.0,164.0,213.0,50.3,49.7,1.27,10.6,8.2,43.0,259.0,168.0,290.0,177.0,60.0,62.0
3.0,287.5,881.0,179.0,193.0,162.0,214.0,50.0,50.0,1.29,11.0,8.3,44.0,229.0,166.0,287.0,177.0,60.0,62.0
1.0,315.2,315.0,167.0,175.0,165.0,220.0,50.1,49.9,1.18,10.4,8.5,45.0,272.0,175.0,311.0,177.0,60.0,62.0
2.0,298.0,613.0,179.0,182.0,164.0,223.0,50.2,49.8,1.23,10.4,8.2,46.0,285.0,168.0,297.0,177.0,60.0,62.0
3.0,308.6,922.0,180.0,181.0,165.0,226.0,50.5,49.5,1.18,10.1,8.3,48.0,296.0,169.0,309.0,177.0,60.0,62.0
1.0,305.9,305.0,173.0,185.0,166.0,211.0,50.1,49.9,1.21,10.3,8.2,48.0,268.0,171.0,300.0,177.0,60.0,62.0
2.0,302.6,609.0,181.0,183.0,167.0,211.0,50.4,49.6,1.18,10.2,8.4,50.0,290.0,170.0,303.0,177.0,60.0,62.0
3.0,283.2,892.0,187.0,193.0,168.0,207.0,50.2,49.8,1.27,10.1,7.7,48.0,255.0,171.0,283.0,177.0,60.0,62.0
1.0,256.8,256.0,174.0,189.0,169.0,190.0,50.9,49.1,1.4,9.9,6.7,40.0,206.0,179.0,251.0,177.0,60.0,62.0
2.0,226.4,483.0,197.0,203.0,171.0,189.0,50.4,49.6,1.56,9.9,6.1,42.0,203.0,174.0,226.0,177.0,60.0,62.0
3.0,228.6,712.0,203.0,205.0,170.0,199.0,50.1,49.9,1.55,9.5,6.0,44.0,193.0,174.0,229.0,177.0,60.0,62.0
1.0,272.0,272.0,138.0,152.0,164.0,207.0,50.8,49.2,1.31,10.5,7.8,46.0,273.0,168.0,271.0,177.0,60.0,62.0
